,School_code,School_name,latest_year_enrolment_FTE,Level_of_schooling,AECG_region,ASGS_remoteness,Latitude,Longitude,Ratio,teacher_demand
1887,8191,Corrimal High School,353.0,Secondary School,Upper South Coast,Major Cities of Australia,-34.374243,150.91071,12.450000000000001,29.0
1888,8193,Mullumbimby High School,630.3999999999999,Secondary School,Upper North Coast,Inner Regional Australia,-28.558569,153.494604,12.450000000000001,51.0
1889,8194,Forbes High School,333.0,Secondary School,Western 1,Outer Regional Australia,-33.364596,148.011352,12.450000000000001,27.0
1890,8195,Ballina Coast High School,950.8,Secondary School,Upper North Coast,Inner Regional Australia,-28.866603,153.565058,12.450000000000001,77.0
1891,8196,Monaro High School,461.0,Secondary School,Lower South Coast,Inner Regional Australia,-36.216655,149.134021,12.450000000000001,37.0
1892,8197,Wellington High School,273.0,Secondary School,Western 1,Outer Regional Australia,-32.546677,148.947815,12.450000000000001,22.0
1893,8201,Nowra High School,895.5999999999999,Secondary School,Upper South Coast,Inner Regional Australia,-34.872966,150.609361,12.450000000000001,72.0
1894,8202,Singleton High School,1077.2000000000005,Secondary School,Hunter,Inner Regional Australia,-32.569684,151.177593,12.450000000000001,87.0
1895,8203,Belmont High School,804.1999999999999,Secondary School,Hunter,Major Cities of Australia,-33.027147,151.660114,12.450000000000001,65.0
1896,8204,Dapto High School,960.6,Secondary School,Upper South Coast,Major Cities of Australia,-34.499054,150.785868,12.450000000000001,78.0
1897,8205,Illawarra Sports High School,809.6,Secondary School,Upper South Coast,Major Cities of Australia,-34.480849,150.853331,12.450000000000001,65.0
1898,8206,East Hills Boys High School,829.6,Secondary School,Metropolitan South West,Major Cities of Australia,-33.957229,150.994115,12.450000000000001,67.0
1899,8207,Hunters Hill High School,772.8000000000001,Secondary School,Metropolitan North,Major Cities of Australia,-33.832696,151.148509,12.450000000000001,62.0
1900,8208,Cheltenham Girls High School,1420.2,Secondary School,Metropolitan North,Major Cities of Australia,-33.75627,151.074096,12.450000000000001,114.0
1901,8209,Cabramatta High School,1557.0,Secondary School,Metropolitan South West,Major Cities of Australia,-33.901422,150.928913,12.450000000000001,125.0
1902,8210,Lake Macquarie High School,396.0,Secondary School,Hunter,Major Cities of Australia,-32.975553,151.613863,12.450000000000001,32.0
1903,8211,Normanhurst Boys High School,742.7,Secondary School,Metropolitan North,Major Cities of Australia,-33.721475,151.101466,12.450000000000001,60.0
1904,8213,Birrong Boys High School,372.0,Secondary School,Metropolitan South West,Major Cities of Australia,-33.894047,151.025024,12.450000000000001,30.0
1905,8214,"The Rivers Secondary College, Richmond River High Campus",701.8,Secondary School,Upper North Coast,Inner Regional Australia,-28.798765,153.279612,12.450000000000001,57.0
